Date,Exports (Goods & Services)
1947-01-31,
1947-02-28,
1947-03-31,
1947-04-30,
1947-05-31,
1947-06-30,
1947-07-31,93.767
1947-08-31,93.767
1947-09-30,93.767
1947-10-31,92.584
1947-11-30,92.584
1947-12-31,92.584
1948-01-31,87.885
1948-02-29,87.885
1948-03-31,87.885
1948-04-30,77.928
1948-05-31,77.928
1948-06-30,77.928
1948-07-31,74.373
1948-08-31,74.373
1948-09-30,74.373
1948-10-31,67.42
1948-11-30,67.42
1948-12-31,67.42
1949-01-31,69.005
1949-02-28,69.005
1949-03-31,69.005
1949-04-30,66.573
1949-05-31,66.573
1949-06-30,66.573
1949-07-31,74.54
1949-08-31,74.54
1949-09-30,74.54
1949-10-31,73.902
1949-11-30,73.902
1949-12-31,73.902
1950-01-31,67.729
1950-02-28,67.729
1950-03-31,67.729
1950-04-30,58.631
1950-05-31,58.631
1950-06-30,58.631
1950-07-31,57.665
1950-08-31,57.665
1950-09-30,57.665
1950-10-31,58.361
1950-11-30,58.361
1950-12-31,58.361
1951-01-31,59.875
1951-02-28,59.875
1951-03-31,59.875
1951-04-30,64.728
1951-05-31,64.728
1951-06-30,64.728
1951-07-31,67.963
1951-08-31,67.963
1951-09-30,67.963
1951-10-31,74.651
1951-11-30,74.651
1951-12-31,74.651
1952-01-31,76.485
1952-02-29,76.485
1952-03-31,76.485
1952-04-30,75.767
1952-05-31,75.767
1952-06-30,75.767
1952-07-31,79.8
1952-08-31,79.8
1952-09-30,79.8
1952-10-31,71.028
1952-11-30,71.028
1952-12-31,71.028
1953-01-31,65.418
1953-02-28,65.418
1953-03-31,65.418
1953-04-30,65.866
1953-05-31,65.866
1953-06-30,65.866
1953-07-31,64.752
1953-08-31,64.752
1953-09-30,64.752
1953-10-31,65.156
1953-11-30,65.156
1953-12-31,65.156
1954-01-31,67.767
1954-02-28,67.767
1954-03-31,67.767
1954-04-30,65.534
1954-05-31,65.534
1954-06-30,65.534
1954-07-31,62.595
1954-08-31,62.595
1954-09-30,62.595
1954-10-31,71.588
1954-11-30,71.588
1954-12-31,71.588
1955-01-31,69.288
1955-02-28,69.288
1955-03-31,69.288
1955-04-30,72.479
1955-05-31,72.479
1955-06-30,72.479
1955-07-31,75.172
1955-08-31,75.172
1955-09-30,75.172
1955-10-31,73.419
1955-11-30,73.419
1955-12-31,73.419
1956-01-31,78.238
1956-02-29,78.238
1956-03-31,78.238
1956-04-30,78.59
1956-05-31,78.59
1956-06-30,78.59
1956-07-31,82.321
1956-08-31,82.321
1956-09-30,82.321
1956-10-31,87.867
1956-11-30,87.867
1956-12-31,87.867
1957-01-31,90.792
1957-02-28,90.792
1957-03-31,90.792
1957-04-30,94.86
1957-05-31,94.86
1957-06-30,94.86
1957-07-31,101.041
1957-08-31,101.041
1957-09-30,101.041
1957-10-31,98.048
1957-11-30,98.048
1957-12-31,98.048
1958-01-31,95.307
1958-02-28,95.307
1958-03-31,95.307
1958-04-30,92.467
1958-05-31,92.467
1958-06-30,92.467
1958-07-31,83.302
1958-08-31,83.302
1958-09-30,83.302
1958-10-31,83.692
1958-11-30,83.692
1958-12-31,83.692
1959-01-31,83.936
1959-02-28,83.936
1959-03-31,83.936
1959-04-30,83.634
1959-05-31,83.634
1959-06-30,83.634
1959-07-31,89.697
1959-08-31,89.697
1959-09-30,89.697
1959-10-31,88.981
1959-11-30,88.981
1959-12-31,88.981
1960-01-31,97.562
1960-02-29,97.562
1960-03-31,97.562
1960-04-30,92.734
1960-05-31,92.734
1960-06-30,92.734
1960-07-31,104.686
1960-08-31,104.686
1960-09-30,104.686
1960-10-31,107.689
1960-11-30,107.689
1960-12-31,107.689
1961-01-31,110.036
1961-02-28,110.036
1961-03-31,110.036
1961-04-30,110.622
1961-05-31,110.622
1961-06-30,110.622
1961-07-31,109.861
1961-08-31,109.861
1961-09-30,109.861
1961-10-31,104.748
1961-11-30,104.748
1961-12-31,104.748
1962-01-31,109.482
1962-02-28,109.482
1962-03-31,109.482
1962-04-30,111.267
1962-05-31,111.267
1962-06-30,111.267
1962-07-31,110.613
1962-08-31,110.613
1962-09-30,110.613
1962-10-31,116.97
1962-11-30,116.97
1962-12-31,116.97
1963-01-31,116.765
1963-02-28,116.765
1963-03-31,116.765
1963-04-30,112.988
1963-05-31,112.988
1963-06-30,112.988
1963-07-31,114.704
1963-08-31,114.704
1963-09-30,114.704
1963-10-31,123.873
1963-11-30,123.873
1963-12-31,123.873
1964-01-31,123.253
1964-02-29,123.253
1964-03-31,123.253
1964-04-30,128.07
1964-05-31,128.07
1964-06-30,128.07
1964-07-31,134.547
1964-08-31,134.547
1964-09-30,134.547
1964-10-31,133.998
1964-11-30,133.998
1964-12-31,133.998
1965-01-31,138.193
1965-02-28,138.193
1965-03-31,138.193
1965-04-30,140.975
1965-05-31,140.975
1965-06-30,140.975
1965-07-31,124.567
1965-08-31,124.567
1965-09-30,124.567
1965-10-31,145.419
1965-11-30,145.419
1965-12-31,145.419
1966-01-31,142.188
1966-02-28,142.188
1966-03-31,142.188
1966-04-30,150.878
1966-05-31,150.878
1966-06-30,150.878
1966-07-31,147.16
1966-08-31,147.16
1966-09-30,147.16
1966-10-31,151.583
1966-11-30,151.583
1966-12-31,151.583
1967-01-31,149.771
1967-02-28,149.771
1967-03-31,149.771
1967-04-30,153.495
1967-05-31,153.495
1967-06-30,153.495
1967-07-31,155.38
1967-08-31,155.38
1967-09-30,155.38
