Date,Leading Economic Index
1982-01-31,
1982-02-28,-0.89
1982-03-31,-0.38
1982-04-30,-0.15
1982-05-31,-0.11
1982-06-30,-0.05
1982-07-31,-0.03
1982-08-31,-0.06
1982-09-30,-0.23
1982-10-31,-0.2
1982-11-30,0.01
1982-12-31,0.48
1983-01-31,0.94
1983-02-28,1.51
1983-03-31,1.73
1983-04-30,1.82
1983-05-31,1.89
1983-06-30,2.11
1983-07-31,2.6
1983-08-31,2.96
1983-09-30,2.5
1983-10-31,2.74
1983-11-30,3.09
1983-12-31,3.35
1984-01-31,2.93
1984-02-29,3.06
1984-03-31,3.28
1984-04-30,3.04
1984-05-31,2.72
1984-06-30,2.55
1984-07-31,2.48
1984-08-31,2.23
1984-09-30,1.94
1984-10-31,2.03
1984-11-30,1.95
1984-12-31,1.99
1985-01-31,1.84
1985-02-28,2.14
1985-03-31,1.92
1985-04-30,2.02
1985-05-31,2.0
1985-06-30,2.13
1985-07-31,1.94
1985-08-31,1.87
1985-09-30,2.0
1985-10-31,2.01
1985-11-30,2.07
1985-12-31,1.87
1986-01-31,1.96
1986-02-28,2.04
1986-03-31,1.54
1986-04-30,1.33
1986-05-31,1.5
1986-06-30,1.54
1986-07-31,1.47
1986-08-31,1.58
1986-09-30,1.53
1986-10-31,1.78
1986-11-30,1.72
1986-12-31,1.75
1987-01-31,2.28
1987-02-28,1.72
1987-03-31,1.9
1987-04-30,1.85
1987-05-31,2.03
1987-06-30,2.15
1987-07-31,1.91
1987-08-31,2.15
1987-09-30,1.98
1987-10-31,2.0
1987-11-30,2.06
1987-12-31,2.13
1988-01-31,2.03
1988-02-29,1.41
1988-03-31,2.03
1988-04-30,2.18
1988-05-31,2.31
1988-06-30,2.01
1988-07-31,2.28
1988-08-31,2.11
1988-09-30,1.85
1988-10-31,1.62
1988-11-30,2.04
1988-12-31,2.14
1989-01-31,1.97
1989-02-28,1.94
1989-03-31,1.79
1989-04-30,1.71
1989-05-31,1.58
1989-06-30,1.2
1989-07-31,0.94
1989-08-31,0.79
1989-09-30,1.07
1989-10-31,1.09
1989-11-30,1.02
1989-12-31,1.24
1990-01-31,1.25
1990-02-28,1.71
1990-03-31,1.45
1990-04-30,1.67
1990-05-31,1.31
1990-06-30,1.1
1990-07-31,1.07
1990-08-31,0.64
1990-09-30,0.42
1990-10-31,-0.11
1990-11-30,-0.07
1990-12-31,-0.26
