,Regime-Based,Equal-Weighted
Monthly Return,0.010482441848473517,0.009427227857562595
Monthly Volatility,0.0443577005245796,0.048149951479714063
Annual Return,0.13330096703498961,0.11918061779885636
Annual Volatility,0.153659582030993,0.166796324689682
Sharpe Ratio,0.19785122463337684,0.1603534612708936
Annual Sharpe,0.6853767468094634,0.5554806841814318
Max Drawdown,-0.1906021349552428,-0.22915402858782524
Sortino Ratio,0.29704056015436014,0.21532145538160413
Annual Sortino,1.0289786841921422,0.7458954013612268
Information Ratio,0.054724725885786585,
Win Rate,0.632183908045977,0.6436781609195402
Avg Up Month,0.037824319128126345,0.036457894788842655
Avg Down Month,-0.0365114097259298,-0.03940236401829815
